Liczba	Maksymalna przerwa
48	95
6	94
46	82
34	79
47	78
15	76
10	74
39	74
3	71
8	71
24	71
1	68
2	68
4	68
25	68
30	66
36	65
43	64
16	63
7	62
12	60
22	60
18	59
35	59
17	58
44	57
45	57
20	56
42	56
11	55
14	55
28	55
41	55
40	54
5	53
32	53
26	52
33	52
37	52
49	52
38	51
9	50
31	50
27	49
21	48
29	47
19	46
23	45
13	41
