Kombinacja	Liczba par losowań
1,17,38	210
1,28,38	210
10,11,24	190
4,20,22	171
5,18,40	171
8,24,44	171
17,21,29	171
18,20,29	171
19,22,25	171
19,24,41	171
21,29,39	171
21,39,41	171
31,38,42	171
1,40,46	153
2,9,11	153
2,9,24	153
2,15,25	153
3,6,15	153
4,27,48	153
4,29,32	153
5,15,28	153
6,15,27	153
7,9,46	153
7,29,46	153
9,20,29	153
10,13,38	153
12,17,42	153
13,15,22	153
13,15,37	153
15,19,34	153
18,45,49	153
21,24,27	153
21,25,33	153
27,34,46	153
31,41,42	153
1,13,22	136
2,14,22	136
2,20,29	136
2,28,40	136
2,38,40	136
3,7,46	136
3,13,31	136
3,40,46	136
4,25,27	136
4,26,31	136
5,32,49	136
6,15,28	136
7,11,19	136
7,21,32	136
8,17,36	136
8,24,40	136
9,13,24	136
9,42,45	136
10,32,49	136
11,12,34	136
11,32,33	136
12,36,42	136
13,15,29	136
13,22,29	136
15,25,37	136
15,29,35	136
17,21,22	136
17,21,41	136
18,27,40	136
21,22,25	136
23,39,41	136
25,26,33	136
25,36,39	136
27,33,41	136
30,33,46	136
41,42,47	136
1,24,43	120
1,26,40	120
1,26,44	120
2,6,36	120
2,17,40	120
3,4,20	120
3,4,31	120
3,27,33	120
4,16,29	120
4,22,36	120
4,25,29	120
4,26,42	120
4,27,28	120
4,28,40	120
5,9,29	120
5,17,20	120
5,17,36	120
5,31,49	120
6,13,40	120
6,16,24	120
6,16,48	120
6,20,34	120
6,26,34	120
6,34,42	120
7,38,45	120
7,38,46	120
8,17,32	120
8,19,28	120
9,16,27	120
9,18,29	120
9,18,39	120
9,21,39	120
9,31,42	120
10,25,44	120
10,39,46	120
11,25,34	120
11,34,36	120
11,34,45	120
12,13,24	120
12,17,21	120
12,18,34	120
13,14,31	120
13,22,32	120
13,22,37	120
13,23,38	120
13,23,40	120
13,25,37	120
14,24,26	120
15,27,34	120
17,21,26	120
17,22,25	120
17,23,38	120
17,26,32	120
17,34,40	120
18,19,39	120
18,21,24	120
19,24,42	120
19,27,28	120
