Kombinacja	Liczba par losowań
20,35,36	120
21,22,26	120
21,23,38	120
21,26,40	120
21,35,37	120
22,36,44	120
24,27,37	120
24,31,39	120
24,41,42	120
25,27,33	120
25,27,48	120
25,28,37	120
25,33,35	120
26,39,46	120
34,36,47	120
35,36,46	120
35,43,46	120
1,3,35	105
1,5,36	105
1,11,46	105
1,13,37	105
1,17,40	105
1,20,46	105
1,21,31	105
1,22,37	105
1,31,41	105
2,5,11	105
2,5,42	105
2,5,45	105
2,6,18	105
2,6,47	105
2,6,49	105
2,10,28	105
2,11,45	105
2,14,34	105
2,16,42	105
2,17,29	105
2,17,49	105
2,29,33	105
2,30,46	105
2,41,46	105
2,43,49	105
3,6,8	105
3,6,18	105
3,14,28	105
3,14,31	105
3,15,22	105
3,27,40	105
3,28,38	105
3,34,36	105
4,5,27	105
4,5,34	105
4,5,36	105
4,8,24	105
4,9,45	105
4,17,36	105
4,21,26	105
4,21,49	105
4,27,30	105
4,33,49	105
5,9,20	105
5,17,37	105
5,21,39	105
5,23,44	105
5,27,45	105
5,36,38	105
6,9,42	105
6,18,28	105
6,20,41	105
6,22,30	105
6,23,36	105
6,25,33	105
6,27,34	105
6,37,42	105
6,42,49	105
7,8,46	105
7,16,47	105
8,13,41	105
8,20,39	105
8,23,44	105
9,17,20	105
9,27,30	105
9,27,46	105
9,38,42	105
10,17,44	105
10,25,31	105
10,29,32	105
10,35,44	105
10,38,48	105
11,12,23	105
11,13,49	105
11,15,34	105
11,23,46	105
11,29,45	105
11,31,37	105
12,16,28	105
12,21,30	105
12,30,38	105
13,15,25	105
13,16,22	105
13,22,24	105
13,24,42	105
13,25,28	105
13,25,49	105
13,31,40	105
14,19,25	105
14,19,37	105
14,27,49	105
14,34,38	105
14,42,49	105
15,17,42	105
15,20,40	105
15,21,31	105
15,24,41	105
15,25,26	105
15,31,48	105
15,35,44	105
16,19,48	105
16,21,32	105
17,18,40	105
17,20,30	105
17,20,41	105
17,22,31	105
17,31,41	105
17,31,42	105
17,32,34	105
17,36,41	105
17,37,42	105
18,20,49	105
18,28,34	105
18,34,45	105
18,40,49	105
19,24,26	105
19,28,43	105
20,30,47	105
20,42,44	105
21,22,44	105
21,26,41	105
21,36,38	105
21,38,49	105
22,25,38	105
22,30,31	105
22,31,34	105
22,35,39	105
24,34,44	105
24,34,47	105
24,38,42	105
24,42,44	105
24,44,47	105
25,27,43	105
25,30,31	105
25,33,48	105
25,42,44	105
26,38,43	105
28,30,34	105
28,38,39	105
28,40,46	105
29,34,35	105
29,38,44	105
31,34,46	105
31,44,49	105
34,35,49	105
34,36,46	105
34,38,46	105
34,44,45	105
35,37,48	105
36,39,45	105
1,4,5	91
1,7,17	91
1,8,36	91
1,10,37	91
1,13,19	91
1,14,28	91
1,16,21	91
1,17,18	91
1,17,25	91
1,17,36	91
1,19,21	91
1,19,45	91
1,20,41	91
1,26,32	91
1,28,40	91
1,29,35	91
1,29,38	91
1,32,34	91
1,36,37	91
1,37,44	91
1,41,49	91
2,3,21	91
2,4,31	91
2,4,48	91
2,5,10	91
2,5,38	91
2,5,40	91
2,5,49	91
2,8,27	91
2,9,23	91
2,9,49	91
2,13,37	91
2,15,34	91
2,15,49	91
2,17,30	91
2,20,49	91
2,21,39	91
2,29,31	91
2,36,39	91
2,36,45	91
2,37,38	91
2,43,48	91
3,11,12	91
3,11,24	91
3,13,15	91
3,18,20	91
3,20,43	91
3,21,45	91
3,28,43	91
3,31,34	91
3,31,47	91
3,33,34	91
3,34,46	91
3,40,43	91
4,5,17	91
4,5,31	91
4,6,18	91
4,9,29	91
4,15,25	91
4,17,40	91
4,19,20	91
4,19,24	91
4,20,36	91
4,24,32	91
4,25,47	91
4,28,33	91
4,33,35	91
4,34,44	91
4,34,46	91
5,6,36	91
5,11,20	91
5,15,26	91
5,15,32	91
5,15,38	91
5,15,40	91
5,18,28	91
5,27,48	91
5,27,49	91
5,32,34	91
5,36,40	91
6,7,27	91
6,9,38	91
6,11,34	91
6,11,46	91
6,15,21	91
6,16,19	91
6,16,21	91
6,19,20	91
6,19,31	91
6,23,46	91
6,24,28	91
6,26,30	91
6,26,42	91
6,27,49	91
6,41,42	91
7,9,27	91
7,16,38	91
7,20,29	91
7,21,23	91
7,21,24	91
7,21,38	91
7,25,34	91
7,27,34	91
7,27,49	91
7,31,43	91
8,12,17	91
8,14,49	91
8,18,24	91
8,18,27	91
8,24,47	91
8,30,47	91
8,38,42	91
9,10,39	91
9,11,29	91
9,18,36	91
9,18,45	91
9,19,28	91
9,21,32	91
9,27,34	91
9,29,42	91
9,34,39	91
9,35,45	91
9,42,44	91
10,23,44	91
10,26,44	91
10,27,29	91
10,33,35	91
10,35,37	91
10,42,44	91
11,14,39	91
11,17,35	91
11,19,27	91
11,29,32	91
11,33,40	91
11,33,47	91
11,40,45	91
11,41,46	91
12,19,47	91
12,21,23	91
12,21,34	91
12,21,36	91
13,15,35	91
13,15,38	91
13,18,24	91
13,18,34	91
13,19,36	91
13,19,40	91
13,20,26	91
13,20,32	91
13,21,29	91
13,24,31	91
13,24,37	91
13,25,29	91
13,26,31	91
13,31,37	91
13,36,37	91
13,37,40	91
14,23,44	91
14,25,45	91
14,26,40	91
14,27,30	91
14,28,48	91
14,29,49	91
14,30,34	91
14,31,41	91
15,17,40	91
15,25,29	91
15,27,47	91
15,27,48	91
15,28,44	91
15,31,34	91
15,41,42	91
16,19,27	91
16,27,30	91
16,27,35	91
16,33,48	91
16,38,47	91
17,18,23	91
17,20,24	91
17,21,28	91
17,22,46	91
17,23,28	91
17,26,34	91
17,26,38	91
17,26,48	91
17,27,41	91
18,19,20	91
18,19,28	91
18,23,39	91
18,27,46	91
18,30,34	91
18,30,39	91
18,31,42	91
18,35,36	91
18,38,46	91
18,40,46	91
19,20,22	91
19,20,27	91
19,21,37	91
19,25,41	91
19,31,38	91
19,31,47	91
19,34,42	91
19,38,42	91
20,22,26	91
20,24,41	91
20,24,43	91
20,29,30	91
20,29,49	91
20,39,45	91
21,24,36	91
21,28,36	91
21,28,43	91
21,28,46	91
21,32,42	91
21,33,44	91
21,34,37	91
21,36,37	91
21,36,41	91
22,25,45	91
22,37,48	91
22,41,46	91
23,29,38	91
23,30,46	91
24,29,32	91
24,33,43	91
24,34,39	91
25,27,31	91
25,30,35	91
25,30,39	91
25,33,41	91
25,33,45	91
26,28,38	91
26,40,49	91
26,42,46	91
27,29,49	91
27,33,35	91
27,33,43	91
27,34,40	91
28,30,37	91
28,34,38	91
28,36,40	91
28,38,40	91
28,38,43	91
29,32,38	91
30,31,34	91
30,31,47	91
30,32,37	91
30,34,46	91
31,38,43	91
31,42,46	91
32,35,37	91
32,36,39	91
32,39,46	91
32,45,49	91
34,38,45	91
34,44,47	91
36,37,42	91
37,47,48	91
38,40,46	91
38,42,45	91
39,41,43	91
45,46,48	91
1,2,49	78
1,4,49	78
1,5,11	78
1,10,46	78
1,13,17	78
1,14,31	78
1,15,28	78
1,16,29	78
1,17,19	78
1,17,23	78
1,17,34	78
1,17,48	78
1,18,47	78
1,19,20	78
1,19,38	78
1,20,47	78
1,21,27	78
1,22,47	78
1,23,38	78
1,24,35	78
1,24,44	78
1,26,37	78
1,28,36	78
1,34,41	78
1,36,42	78
1,36,44	78
1,41,43	78
1,45,49	78
2,3,6	78
2,3,17	78
2,3,33	78
2,3,40	78
2,5,18	78
2,5,36	78
2,5,39	78
2,6,17	78
2,6,25	78
2,8,21	78
2,10,16	78
2,11,39	78
2,13,31	78
2,13,34	78
2,15,17	78
2,15,40	78
2,15,43	78
2,17,18	78
2,17,36	78
2,17,42	78
2,18,40	78
2,21,25	78
2,21,35	78
2,21,36	78
2,21,38	78
2,22,31	78
2,22,36	78
2,24,39	78
2,25,29	78
2,26,46	78
2,27,40	78
2,28,39	78
2,32,40	78
2,36,48	78
2,38,42	78
3,4,7	78
3,4,32	78
3,6,27	78
3,6,32	78
3,7,11	78
3,7,38	78
3,9,17	78
3,11,28	78
3,17,20	78
3,18,27	78
3,18,34	78
3,20,29	78
3,21,22	78
3,23,25	78
3,23,40	78
3,27,30	78
3,27,34	78
3,28,32	78
4,5,8	78
4,5,10	78
4,5,38	78
4,5,44	78
4,6,15	78
4,9,10	78
4,9,22	78
4,10,31	78
4,10,39	78
4,10,42	78
4,12,29	78
4,15,22	78
4,17,48	78
4,20,31	78
4,20,42	78
4,20,44	78
4,21,37	78
4,21,38	78
4,22,35	78
4,23,27	78
4,24,29	78
4,24,45	78
4,27,29	78
4,27,43	78
4,28,41	78
4,28,45	78
4,31,39	78
4,37,38	78
4,40,45	78
4,40,47	78
5,6,20	78
5,6,42	78
5,7,48	78
5,9,38	78
5,10,16	78
5,10,42	78
5,11,40	78
5,11,44	78
5,13,37	78
5,13,42	78
5,14,40	78
5,15,20	78
5,15,27	78
5,15,35	78
5,15,41	78
5,18,39	78
5,20,48	78
5,21,27	78
5,21,29	78
5,22,31	78
5,23,36	78
5,32,41	78
6,8,12	78
6,8,16	78
6,8,36	78
6,9,10	78
6,10,37	78
6,10,38	78
6,10,47	78
6,11,23	78
6,11,45	78
6,13,18	78
6,15,44	78
6,16,23	78
6,16,37	78
6,16,39	78
6,16,47	78
6,18,49	78
6,19,21	78
6,19,48	78
6,22,38	78
6,28,36	78
6,29,35	78
6,32,42	78
6,32,46	78
6,36,48	78
6,40,47	78
6,41,47	78
7,9,45	78
7,11,46	78
7,13,17	78
7,13,25	78
7,14,25	78
7,17,38	78
7,18,21	78
7,19,45	78
7,19,46	78
7,20,46	78
7,21,25	78
7,22,32	78
7,23,31	78
7,25,28	78
7,25,38	78
7,25,44	78
7,25,46	78
7,25,48	78
7,26,32	78
7,27,41	78
7,31,41	78
7,34,46	78
7,36,38	78
7,37,38	78
7,41,45	78
7,45,48	78
7,46,48	78
8,10,44	78
8,12,37	78
8,12,39	78
8,13,23	78
8,14,26	78
8,15,17	78
8,15,24	78
8,17,26	78
8,17,28	78
8,18,29	78
8,21,25	78
8,21,35	78
8,22,39	78
8,24,29	78
8,27,38	78
8,29,35	78
8,30,36	78
8,32,40	78
8,32,44	78
9,10,41	78
9,13,18	78
9,15,44	78
9,17,30	78
9,17,38	78
9,18,28	78
9,18,37	78
9,18,38	78
9,18,41	78
9,20,42	78
9,21,24	78
9,21,38	78
9,23,34	78
9,28,37	78
9,29,33	78
9,29,43	78
9,31,48	78
9,40,42	78
10,13,23	78
10,15,46	78
10,19,31	78
10,19,34	78
10,23,28	78
10,26,32	78
10,27,39	78
10,27,40	78
10,29,37	78
10,35,42	78
11,12,14	78
11,12,32	78
11,12,37	78
11,12,48	78
11,14,36	78
11,14,37	78
11,15,25	78
11,15,31	78
11,17,34	78
11,21,39	78
11,22,35	78
11,24,39	78
11,29,31	78
11,31,34	78
11,31,41	78
11,35,37	78
11,37,46	78
11,42,46	78
12,15,42	78
12,16,21	78
12,16,23	78
12,16,38	78
12,21,27	78
12,23,24	78
12,24,28	78
12,24,34	78
12,24,44	78
12,24,49	78
12,29,37	78
12,30,46	78
12,32,34	78
12,32,37	78
12,34,36	78
12,38,48	78
12,39,46	78
13,15,20	78
13,16,20	78
13,17,28	78
13,17,37	78
13,20,38	78
13,20,40	78
13,23,24	78
13,24,32	78
13,24,49	78
13,28,31	78
13,31,34	78
13,32,34	78
13,36,40	78
13,38,45	78
14,17,26	78
14,17,36	78
14,17,46	78
14,19,24	78
14,20,26	78
14,21,26	78
14,21,44	78
14,23,40	78
14,25,27	78
14,26,32	78
14,26,38	78
14,26,49	78
14,27,42	78
14,27,45	78
14,28,31	78
14,28,32	78
14,28,34	78
14,28,44	78
14,33,46	78
14,34,40	78
14,37,48	78
14,38,40	78
14,40,42	78
14,42,44	78
15,18,34	78
15,20,33	78
15,24,37	78
15,25,43	78
15,38,43	78
15,38,46	78
16,17,21	78
16,23,24	78
16,24,25	78
16,24,27	78
16,24,37	78
16,27,41	78
16,27,49	78
16,29,36	78
16,31,32	78
16,36,38	78
16,38,39	78
16,38,44	78
16,40,46	78
17,18,27	78
17,18,29	78
17,19,38	78
17,20,23	78
17,21,45	78
17,22,44	78
17,24,26	78
17,24,43	78
17,25,32	78
17,25,47	78
17,26,30	78
17,29,30	78
17,29,40	78
17,30,36	78
17,30,40	78
17,33,49	78
17,37,45	78
17,38,41	78
17,43,49	78
18,20,40	78
18,21,30	78
18,21,45	78
18,22,38	78
18,24,34	78
18,35,47	78
18,36,39	78
18,39,49	78
18,44,46	78
19,20,24	78
19,20,28	78
19,24,31	78
19,24,44	78
19,27,36	78
19,28,36	78
19,33,42	78
19,35,37	78
19,35,39	78
20,21,39	78
20,22,40	78
20,26,40	78
20,27,29	78
20,27,33	78
20,30,36	78
20,31,35	78
20,35,43	78
20,39,46	78
20,46,48	78
21,22,29	78
21,23,26	78
21,23,37	78
21,23,41	78
21,27,49	78
21,30,39	78
21,35,38	78
21,36,39	78
21,37,39	78
21,40,47	78
21,41,49	78
21,42,44	78
22,23,24	78
22,23,40	78
22,25,31	78
22,25,34	78
22,28,46	78
22,30,37	78
22,30,45	78
23,24,44	78
23,26,32	78
23,28,41	78
23,28,49	78
23,37,44	78
24,25,41	78
24,26,37	78
24,26,42	78
24,26,46	78
24,31,45	78
24,35,47	78
24,39,42	78
25,26,27	78
25,26,40	78
25,27,47	78
25,28,38	78
25,36,37	78
25,37,38	78
26,27,40	78
26,27,46	78
26,31,42	78
26,33,34	78
26,34,36	78
26,37,46	78
26,42,44	78
26,42,45	78
27,29,32	78
27,30,34	78
27,30,35	78
27,31,41	78
27,36,46	78
27,38,44	78
27,45,49	78
27,47,49	78
28,34,46	78
28,36,43	78
28,40,43	78
28,41,43	78
28,43,45	78
29,30,34	78
29,31,49	78
29,35,38	78
29,37,48	78
29,38,47	78
30,31,35	78
30,31,42	78
30,31,43	78
30,32,36	78
30,32,39	78
30,36,48	78
31,38,46	78
31,42,47	78
32,33,44	78
32,33,46	78
32,36,47	78
33,43,49	78
33,44,45	78
33,45,47	78
34,37,39	78
34,40,42	78
34,40,46	78
35,36,43	78
35,39,41	78
35,45,49	78
37,44,47	78
41,43,46	78
41,43,48	78
42,44,45	78
44,45,47	78
1,2,17	66
1,2,40	66
1,3,8	66
1,4,44	66
1,7,9	66
1,7,45	66
1,8,33	66
1,8,49	66
1,10,28	66
1,11,33	66
1,12,27	66
1,13,44	66
1,13,45	66
1,14,20	66
1,15,17	66
1,15,30	66
1,15,42	66
1,15,46	66
1,16,36	66
1,17,22	66
1,17,26	66
1,17,28	66
1,17,42	66
1,18,42	66
1,19,25	66
1,20,44	66
1,21,37	66
1,21,43	66
1,22,30	66
1,22,45	66
1,23,28	66
1,26,34	66
1,27,34	66
1,27,38	66
1,28,43	66
1,29,34	66
1,33,35	66
1,34,36	66
1,34,44	66
1,35,45	66
1,37,42	66
1,44,46	66
1,45,48	66
1,47,49	66
2,4,18	66
2,4,40	66
2,5,15	66
2,5,16	66
2,5,27	66
2,5,31	66
2,6,7	66
2,6,10	66
2,6,21	66
2,6,44	66
2,9,18	66
2,9,36	66
2,9,48	66
2,11,33	66
2,12,30	66
2,12,40	66
2,13,29	66
2,14,45	66
2,15,28	66
2,15,46	66
2,15,48	66
2,16,37	66
2,17,26	66
2,17,34	66
2,17,38	66
2,18,42	66
2,19,45	66
2,20,30	66
2,21,24	66
2,21,30	66
2,22,34	66
2,22,40	66
2,22,44	66
2,23,33	66
2,23,34	66
2,23,47	66
2,24,43	66
2,26,29	66
2,26,40	66
2,26,45	66
2,28,33	66
2,30,47	66
2,30,49	66
2,31,34	66
2,32,39	66
2,33,36	66
2,34,49	66
2,36,44	66
2,39,41	66
2,39,46	66
2,39,49	66
2,40,45	66
2,40,49	66
3,6,7	66
3,6,14	66
3,6,25	66
3,6,45	66
3,7,9	66
3,7,23	66
3,7,34	66
3,7,45	66
3,8,10	66
3,8,14	66
3,9,22	66
3,9,38	66
3,11,16	66
3,11,17	66
3,11,34	66
3,11,37	66
3,11,48	66
3,12,24	66
3,13,23	66
3,13,25	66
3,13,27	66
3,13,38	66
3,14,41	66
3,14,43	66
3,14,45	66
3,14,49	66
3,15,31	66
3,15,36	66
3,16,24	66
3,16,28	66
3,16,31	66
3,16,33	66
3,17,18	66
3,19,27	66
3,19,32	66
3,20,36	66
3,20,40	66
3,21,24	66
3,21,41	66
3,22,43	66
3,23,29	66
3,24,48	66
3,27,28	66
3,27,37	66
3,27,46	66
3,27,49	66
3,28,31	66
3,28,33	66
3,31,32	66
3,35,38	66
3,43,46	66
4,5,19	66
4,5,20	66
4,5,29	66
4,5,32	66
4,6,20	66
4,6,27	66
4,6,40	66
4,6,47	66
4,8,17	66
4,8,27	66
4,8,28	66
4,8,32	66
4,8,49	66
4,9,21	66
4,9,31	66
4,9,35	66
4,10,21	66
4,10,22	66
4,10,43	66
4,13,14	66
4,13,18	66
4,14,26	66
4,14,28	66
4,14,42	66
4,15,24	66
4,15,41	66
4,16,31	66
4,16,47	66
4,17,19	66
4,17,20	66
4,17,30	66
4,17,33	66
4,18,25	66
4,18,33	66
4,18,36	66
4,19,21	66
4,19,31	66
4,19,48	66
4,20,24	66
4,20,26	66
4,20,29	66
4,20,35	66
4,21,22	66
4,21,28	66
4,21,29	66
4,21,47	66
4,22,26	66
4,22,38	66
4,22,43	66
4,22,45	66
4,22,47	66
4,25,26	66
4,25,31	66
4,25,33	66
4,26,27	66
4,27,41	66
4,28,36	66
4,30,35	66
4,33,48	66
4,34,49	66
4,35,36	66
4,36,45	66
4,40,42	66
4,40,49	66
4,41,42	66
5,6,17	66
5,6,18	66
5,6,28	66
5,6,40	66
5,6,49	66
5,8,20	66
5,8,22	66
5,8,47	66
5,10,19	66
5,11,23	66
5,12,24	66
5,12,36	66
5,13,20	66
5,13,24	66
5,14,37	66
5,14,42	66
5,15,45	66
5,17,19	66
5,17,23	66
5,17,32	66
5,17,40	66
5,17,42	66
5,17,44	66
5,19,46	66
5,20,24	66
5,20,28	66
5,22,49	66
5,24,29	66
5,25,47	66
5,26,42	66
5,29,38	66
5,29,39	66
5,29,49	66
5,31,38	66
5,35,37	66
5,36,48	66
5,38,43	66
5,39,47	66
5,40,45	66
5,41,42	66
5,42,44	66
5,42,45	66
5,43,45	66
5,48,49	66
6,7,42	66
6,7,43	66
6,7,46	66
6,9,13	66
6,9,18	66
6,10,22	66
6,11,16	66
6,11,42	66
6,12,36	66
6,13,21	66
6,13,39	66
6,14,42	66
6,14,48	66
6,15,43	66
6,16,18	66
6,16,33	66
6,16,36	66
6,17,38	66
6,17,41	66
6,18,19	66
6,19,33	66
6,19,40	66
6,19,45	66
6,19,49	66
6,20,21	66
6,20,29	66
6,20,33	66
6,20,40	66
6,20,42	66
6,20,48	66
6,20,49	66
6,22,37	66
6,24,31	66
6,24,38	66
6,24,41	66
6,25,26	66
6,25,29	66
6,25,45	66
6,27,28	66
6,27,38	66
6,27,44	66
6,28,31	66
6,30,42	66
6,31,42	66
6,32,40	66
6,32,49	66
6,40,49	66
6,41,43	66
7,8,28	66
7,9,21	66
7,10,46	66
7,11,34	66
7,12,18	66
7,12,43	66
7,13,15	66
7,13,16	66
7,14,38	66
7,14,43	66
7,14,48	66
7,15,47	66
7,15,49	66
7,17,28	66
7,17,29	66
7,17,31	66
7,17,41	66
7,18,26	66
7,18,27	66
7,18,29	66
7,18,46	66
7,20,34	66
7,21,29	66
7,21,49	66
7,22,46	66
7,23,36	66
7,23,42	66
7,25,43	66
7,30,46	66
7,32,34	66
7,32,41	66
7,32,46	66
7,34,38	66
7,34,45	66
7,37,45	66
7,38,43	66
7,38,48	66
7,39,42	66
7,45,47	66
8,9,31	66
8,10,18	66
8,10,32	66
8,10,48	66
8,11,35	66
8,12,18	66
8,12,21	66
8,12,36	66
8,14,18	66
8,15,21	66
8,16,24	66
8,16,31	66
8,16,33	66
8,17,18	66
8,17,21	66
8,17,24	66
8,17,48	66
8,18,19	66
8,18,40	66
8,19,27	66
8,19,31	66
8,19,32	66
8,21,31	66
8,21,36	66
8,22,36	66
8,22,47	66
8,24,31	66
8,24,35	66
8,24,46	66
8,28,41	66
8,30,39	66
8,32,36	66
8,32,37	66
8,38,43	66
8,39,41	66
9,10,13	66
9,10,38	66
9,11,17	66
9,11,39	66
9,11,41	66
9,12,17	66
9,13,25	66
9,13,43	66
9,14,27	66
9,14,46	66
9,15,42	66
9,15,47	66
9,16,39	66
9,16,47	66
9,17,18	66
9,17,31	66
9,18,19	66
9,18,26	66
9,18,31	66
9,18,42	66
9,18,46	66
9,18,48	66
9,20,31	66
9,20,45	66
9,21,28	66
9,21,31	66
9,22,36	66
9,22,37	66
9,22,39	66
9,23,47	66
9,25,48	66
9,26,27	66
9,26,29	66
9,26,47	66
9,27,31	66
9,27,39	66
9,28,32	66
9,28,38	66
9,29,41	66
9,30,31	66
9,30,39	66
9,31,34	66
9,32,34	66
9,34,36	66
9,34,40	66
9,40,45	66
9,42,49	66
9,44,45	66
9,47,49	66
10,11,12	66
10,11,23	66
10,11,25	66
10,11,38	66
10,11,44	66
10,12,30	66
10,13,14	66
10,13,22	66
10,13,27	66
10,14,32	66
10,15,31	66
10,15,44	66
10,16,30	66
10,16,32	66
10,17,38	66
10,18,44	66
10,20,30	66
10,20,46	66
10,22,30	66
10,24,26	66
10,24,30	66
10,24,33	66
10,25,27	66
10,26,30	66
10,27,36	66
10,28,32	66
10,28,39	66
10,29,39	66
10,33,43	66
10,33,44	66
10,35,41	66
10,35,47	66
10,36,38	66
10,38,44	66
10,43,47	66
11,12,39	66
11,13,27	66
11,14,15	66
11,14,46	66
11,14,48	66
11,15,33	66
11,15,39	66
11,18,30	66
11,18,46	66
11,19,24	66
11,20,26	66
11,20,29	66
11,21,23	66
11,23,38	66
11,23,40	66
11,24,38	66
11,25,48	66
11,25,49	66
11,28,31	66
11,30,36	66
11,30,40	66
11,30,46	66
11,32,34	66
11,44,46	66
12,13,16	66
12,14,19	66
12,14,21	66
12,14,38	66
12,15,33	66
12,16,29	66
12,18,28	66
12,19,42	66
12,21,39	66
12,23,27	66
12,23,39	66
12,25,29	66
12,27,28	66
12,28,37	66
12,29,32	66
12,32,35	66
12,34,37	66
12,34,44	66
12,35,37	66
12,36,39	66
12,39,42	66
13,14,33	66
13,14,38	66
13,15,31	66
13,15,44	66
13,17,42	66
13,18,23	66
13,19,33	66
13,21,24	66
13,21,28	66
13,22,35	66
13,22,42	66
13,22,48	66
13,23,28	66
13,23,32	66
13,25,47	66
13,26,42	66
13,28,49	66
13,29,37	66
13,29,46	66
13,30,37	66
13,31,35	66
13,33,36	66
13,35,40	66
13,36,39	66
13,38,44	66
13,40,49	66
13,43,49	66
14,15,49	66
14,16,19	66
14,16,29	66
14,16,32	66
14,16,34	66
14,16,40	66
14,17,43	66
14,17,48	66
14,19,23	66
14,19,28	66
14,19,38	66
14,22,23	66
14,25,41	66
14,26,34	66
14,26,42	66
14,30,38	66
14,33,49	66
14,35,37	66
14,36,44	66
14,36,46	66
14,37,45	66
15,17,25	66
15,17,31	66
15,17,35	66
15,17,41	66
15,17,46	66
15,18,21	66
15,20,36	66
15,22,35	66
15,22,40	66
15,27,30	66
15,27,31	66
15,27,44	66
15,28,33	66
15,31,41	66
15,32,34	66
15,33,35	66
15,34,47	66
15,34,49	66
15,37,39	66
15,40,42	66
15,40,43	66
16,18,21	66
16,18,23	66
16,18,40	66
16,19,30	66
16,19,38	66
16,19,39	66
16,21,27	66
16,21,29	66
16,21,31	66
16,22,37	66
16,23,27	66
16,24,31	66
16,24,36	66
16,24,44	66
16,24,49	66
16,25,29	66
16,25,32	66
16,27,32	66
16,27,42	66
16,28,39	66
16,29,32	66
16,29,34	66
16,31,42	66
16,33,47	66
17,18,22	66
17,18,38	66
17,20,32	66
17,21,34	66
17,21,37	66
17,22,26	66
17,22,34	66
17,22,40	66
17,23,24	66
17,23,48	66
17,23,49	66
17,24,27	66
17,24,33	66
17,24,46	66
17,25,37	66
17,26,28	66
17,26,40	66
17,28,29	66
17,29,38	66
17,29,42	66
17,30,31	66
17,30,38	66
17,31,37	66
17,32,44	66
17,34,45	66
17,36,39	66
17,36,49	66
17,37,48	66
17,39,41	66
18,22,26	66
18,23,32	66
18,23,38	66
18,25,29	66
18,25,48	66
18,26,49	66
18,27,34	66
18,27,35	66
18,29,46	66
18,31,49	66
18,33,34	66
18,33,46	66
18,36,37	66
18,40,42	66
18,45,46	66
19,20,21	66
19,20,31	66
19,20,45	66
19,20,46	66
19,22,23	66
19,22,32	66
19,24,45	66
19,24,46	66
19,25,26	66
19,25,28	66
19,25,31	66
19,25,40	66
19,28,32	66
19,28,38	66
19,31,41	66
19,31,45	66
19,31,46	66
19,32,40	66
19,34,37	66
19,34,43	66
19,34,46	66
19,35,45	66
19,36,38	66
19,37,48	66
19,41,42	66
19,41,46	66
19,42,45	66
19,42,47	66
20,21,30	66
20,22,36	66
20,22,45	66
20,23,28	66
20,24,31	66
20,24,46	66
20,25,46	66
20,26,37	66
20,26,48	66
20,27,32	66
20,27,46	66
20,29,42	66
20,30,46	66
20,34,43	66
20,36,42	66
20,36,44	66
20,36,45	66
20,39,43	66
20,42,43	66
20,43,46	66
20,45,48	66
21,22,41	66
21,23,39	66
21,24,37	66
21,25,38	66
21,26,32	66
21,26,44	66
21,27,42	66
21,27,44	66
21,29,35	66
21,29,37	66
21,29,38	66
21,30,40	66
21,30,41	66
21,31,32	66
21,31,34	66
21,31,39	66
21,31,41	66
21,32,34	66
21,32,38	66
21,32,44	66
21,33,36	66
21,38,39	66
21,38,47	66
21,40,49	66
21,45,49	66
22,25,26	66
22,25,36	66
22,27,35	66
22,28,40	66
22,29,35	66
22,30,34	66
22,30,38	66
